緯度,経度,color,color2
36.83068451,137.417255,3,2
36.79947083,137.3979446,3,2
36.82181327,137.4261649,0,3
36.82439832,137.4189926,3,2
36.84011976,137.4226516,3,2
36.83461196,137.4193767,4,3
36.83455678,137.4192187,4,3
36.82559121,137.4075675,3,3
36.8267428,137.4152672,3,2
36.82302147,137.4043932,1,3
36.82580177,137.4076147,4,3
36.81842642,137.4166073,0,3
36.82804533,137.4118821,3,2
36.7833723,137.408279,3,2
36.81379243,137.4233665,0,2
36.81172542,137.4329526,0,3
36.73652304,137.35519,2,3
36.75112044,137.3541296,0,3
36.75886333,137.338009,2,3
36.76801697,137.3448433,1,3
36.77629307,137.3905695,4,3
36.76098526,137.3353175,2,3
36.79598033,137.3834463,2,3
36.75547019,137.3473933,2,3
36.74529198,137.3460475,4,3
36.74955318,137.3474056,2,3
36.79064451,137.3893086,3,2
36.76023207,137.3397708,2,3
36.75634267,137.350534,2,3
36.75462372,137.3465478,0,3
36.74947038,137.3513489,4,3
36.76692611,137.3433789,2,3
36.76258631,137.3589096,2,3
36.75647553,137.3402255,2,3
36.75616635,137.3908944,2,3
36.76017671,137.3321717,1,3
36.74619995,137.3471983,4,3
36.72812829,137.3781945,2,3
36.76830021,137.3803196,4,3
36.74840505,137.3496255,0,3
36.75715507,137.3609433,4,3
36.76363203,137.339849,1,3
36.77474139,137.3752875,1,3
36.75812344,137.3430211,2,3
36.75960016,137.336816,2,3
36.76862556,137.3444289,2,3
36.77985213,137.3707242,0,3
36.7537238,137.3343202,2,3
36.75100368,137.3538713,4,3
36.77241001,137.346386,2,3
36.7490841,137.3507307,4,3
36.75078463,137.3531676,0,3
36.74856881,137.3498603,4,3
36.76801903,137.349955,2,3
36.76638431,137.3762235,4,3
36.7608897,137.3354457,2,3
36.75437293,137.3733182,2,3
36.77804549,137.3684261,0,3
36.75563288,137.315258,3,2
36.76029786,137.356633,4,3
36.76738868,137.3626598,2,3
36.76655569,137.3769889,4,3
36.77792576,137.3802864,1,3
36.7949098,137.3807563,3,2
36.75761819,137.3514428,2,3
36.73254509,137.3601863,2,3
36.76257386,137.3665095,2,3
36.76734279,137.3952807,2,3
36.77643081,137.3908663,4,3
36.7529056,137.3428349,0,3
36.7761182,137.3655796,2,3
36.7601634,137.3562178,2,3
36.75332685,137.3497006,2,3
36.77471022,137.3541069,1,3
36.77614254,137.3903122,0,3
36.76735464,137.3437461,4,3
36.76365492,137.3507304,4,3
36.75738598,137.3510284,2,3
36.73859624,137.3526905,1,3
36.73491971,137.3696785,2,3
36.74582925,137.3465402,1,3
36.76562561,137.3611897,2,3
36.74579184,137.3466215,4,3
36.76749765,137.343786,4,3
36.75975171,137.3807336,2,3
36.74770331,137.3740646,4,3
36.75647844,137.3448295,2,3
36.75843224,137.3335734,0,3
36.76131975,137.3666524,2,3
36.75127893,137.3522008,0,3
36.76006423,137.3568394,4,3
36.76985356,137.3471394,0,3
36.76979858,137.3823831,4,3
36.75327875,137.365503,4,3
36.74872709,137.3503051,4,3
36.77375641,137.379245,2,3
36.74852913,137.3498207,4,3
36.76810839,137.3802308,0,3
36.75345284,137.3429886,2,3
36.75665208,137.3273388,3,2
36.76739049,137.3833806,2,3
